O/C,H/C,Ash,Temperature,Time,Solid,oil_yield,char_yield,aqueous_yield,gas_yield,oil_HHV,char_HHV,oil_C,char_C
0.63,1.44,1,275,30,11,,49.6,,10.8,,14.14,,0.349
0.63,1.44,1,295,30,11,,48.7,,10.7,,13.62,,0.346
0.739,1.41,5.7,215,30,11,,63.8,,4.3,,12.48,,0.309
0.739,1.41,5.7,235,30,11,,59.1,,6.3,,12.09,,0.295
0.739,1.41,5.7,255,30,11,,45,,10.3,,10.52,,0.281
0.739,1.41,5.7,275,30,11,,44.6,,13,,10.98,,0.265
0.739,1.41,5.7,295,30,11,,42.8,,13.5,,10.35,,0.277
0.689,1.401,5.7,215,30,11,,56.6,,5.9,,11.35,,0.289
0.689,1.401,5.7,235,30,11,,56.4,,7.7,,12.03,,0.287
0.689,1.401,5.7,255,30,11,,40,,12.8,,9.9,,0.244
0.689,1.401,5.7,275,30,11,,42.4,,12.5,,10.67,,0.264
0.689,1.401,5.7,295,30,11,,38,,16,,9.97,,0.256
0.696,1.477,20.1,215,30,11,,72.6,,2.3,,11.87,,0.291
0.696,1.477,20.1,235,30,11,,64.3,,5.2,,10.39,,0.261
0.696,1.477,20.1,255,30,11,,55.4,,8.2,,9.92,,0.263
0.696,1.477,20.1,275,30,11,,54.6,,11,,9.97,,0.252
0.696,1.477,20.1,295,30,11,,52.2,,12.9,,9.66,,0.259
0.389,1.669,5.2,215,30,9,,23.3,,,,6.88,,0.144
0.683,1.412,0,215,30,9,,72.4,,,,16.11,,0.397
0.739,1.41,0,215,30,9,,63.8,,,,12.49,,0.309
1.191,1.959,13.3,210,60,6,,60,,,,12.54,,0.222
1.191,1.959,13.3,240,60,6,,48,,,,11.19,,0.192
1.191,1.959,13.3,270,60,6,,37,,,,9.4,,0.156
0.341,1.902,4.6,210,60,7,,66,,,,19.68,,0.419
0.341,1.902,4.6,240,60,7,,59,,,,19.16,,0.406
0.341,1.902,4.6,270,60,7,,50,,,,17.27,,0.358
0.907,2.021,26.1,210,60,5,,88,,,,16.1,,0.366
0.907,2.021,26.1,240,60,5,,67,,,,11.5,,0.269
0.907,2.021,26.1,270,60,5,,51,,,,8.37,,0.198
0.803,1.692,47.4,180,30,6,,77.5,,,,7.29,,0.162
0.803,1.692,47.4,210,30,6,,75.7,,,,7.39,,0.154
0.803,1.692,47.4,240,30,6,,72.2,,,,6.8,,0.142
0.803,1.692,47.4,270,30,6,,68.4,,,,6.28,,0.131
0.803,1.692,47.4,300,30,6,,66.8,,,,5.92,,0.128
0.459,1.968,49.9,180,30,10,,66,,,,7.24,,0.14
0.459,1.968,49.9,220,30,10,,60,,,,6.04,,0.118
0.459,1.968,49.9,260,30,10,,45,,,,5.31,,0.109
0.459,1.968,49.9,300,30,10,,53,,,,5.95,,0.116
0.459,1.968,49.9,260,60,10,,57,,,,6.87,,0.14
0.459,1.968,49.9,260,90,10,,56.5,,,,6.43,,0.136
0.646,1.431,0.4,200,5,17,,88.5,,,,17.97,,0.484
0.646,1.431,0.4,230,5,17,,70.6,,,,15.18,,0.396
0.646,1.431,0.4,260,5,17,,61,,,,14.95,,0.44
0.639,1.673,2,230,15,16.7,11.5,36.5,,7,,,,
0.639,1.673,2,260,15,16.7,12.5,30.3,,5.8,3.25,,0.084,
0.639,1.673,2,270,15,16.7,18,23.3,,8.3,,,,
0.639,1.673,2,280,15,16.7,22.8,26.3,,7.3,6.76,,0.153,
0.639,1.673,2,300,15,16.7,25.5,23.5,,11.8,7.73,,0.175,
0.639,1.673,2,310,15,16.7,25.5,22.3,,14.3,,,,
0.639,1.673,2,320,15,16.7,27.3,21,,14.3,8.31,,0.188,
0.639,1.673,2,330,15,16.7,25,20.3,,13.8,,,,
0.639,1.673,2,350,15,16.7,24.5,17.5,,14,,,,
0.756,1.633,0.3,250,10,10,21.3,56,11.8,2.7,5.23,,0.128,
0.756,1.633,0.3,250,20,10,22.3,52.8,12.2,3.4,5.47,,0.131,
0.756,1.633,0.3,250,30,10,27.4,47.4,11.8,4,6.46,,0.16,
0.756,1.633,0.3,250,60,10,22.9,48.4,13.3,5.1,5.97,,0.143,
0.756,1.633,0.3,250,10,10,39.3,27.7,13.4,11.9,10.33,,0.249,
0.756,1.633,0.3,250,20,10,34.7,28.6,12.8,12.5,9.13,,0.22,
0.756,1.633,0.3,250,30,10,24.7,28,15.5,13.1,6.78,,0.162,
0.756,1.633,0.3,250,60,10,24.1,28.6,14.6,14.3,6.76,,0.159,
0.794,1.531,5.4,260,15,14.3,7.8,24.5,58.6,9.1,,3.2,,0.1
0.794,1.531,5.4,260,30,14.3,9.2,24.4,57.8,8.6,,3.67,,0.115
0.794,1.531,5.4,260,60,14.3,9.4,23.6,59.6,7.4,,3.79,,0.116
0.794,1.531,5.4,260,90,14.3,3.2,22,63.4,11.4,,,,
0.794,1.531,5.4,280,15,14.3,8.2,16.2,68.7,6.9,,2.83,,0.083
0.794,1.531,5.4,280,30,14.3,8.4,22.4,64.4,4.6,,3.86,,0.11
0.794,1.531,5.4,280,60,14.3,10.2,21.8,63.7,4.3,,3.99,,0.111
0.794,1.531,5.4,280,90,14.3,3.8,20,68.8,7.4,,,,
0.794,1.531,5.4,300,15,14.3,12,21,65.3,1.7,,3.76,,0.109
0.794,1.531,5.4,300,30,14.3,13,23.6,60.8,2.6,,4.27,,0.125
0.794,1.531,5.4,300,60,14.3,15.8,23,60.1,1.1,,4.92,,0.131
0.794,1.531,5.4,300,90,14.3,7.6,24,66.4,2,,,,
0.702,1.83,0.8,250,30,6.3,7.1,44.9,,,2.05,5.99,,0.204
0.702,1.83,0.8,300,30,6.3,11.6,35.2,,,3.34,6.15,,0.179
0.702,1.83,0.8,350,30,6.3,10.1,33.2,,,3.1,6.03,,0.177
